name,rating,text,duration
Latassha Moore, 5 stars ,"Amazing experience.  The food was exceptional as well as the service, top notch.  The cocktails were the cherry on top! We were in town for a convention and had to eat at a Ramsey restaurant, I highly recommend this one, low key, fun, and just a memorable experience.",a month ago
Random Burger, 5 stars ,"Great service and atmosphere. Food exceeded our expectations as we thought it would be just another overated celebrity restaurant but was pleasantly surprised. The Beef Wellington really lives up to its fame, and the cauliflower puree is very smooth and delicious, paired well with the salmon.",a month ago
Adie K, 5 stars ,Great atmosphere and great food,a month ago
Peter McCumber, 5 stars ,"First time here.  I eat at several high end restaurants at home, so I was interested in seeing how the man, the myth, the legend, the franchise stacked up.  After all, I’ve been watching him on TV for a decade.  Let’s see how it goes.  We were greeted by the hostess and sat promptly in a quiet well lit corner booth.  Hostess and server were both very friendly, prompt and professional.  I ordered a crab cake appetizer and shrimp cocktail.  My wife ordered Caesar Salad.  With my entire family coming from Maryland, it only seemed natural to I own a crab cake empire making hundreds of thousands  of crab cakes.  So of course I was a certain Gordon’s crab cake wouldn’t measure up.  I was hoping for an 8 on a scale of 1-10.

The crab cake came first and for the first time in my life, I found a crab cake better than my family’s recipe.  The consistency, texture and flavor weren’t much different than mine, but somehow Ramsey was able to source much larger lump meat than I had.  Of course, neither of ours showed any filler whatsoever, but the quality and size of the lump meat was clearly the difference.  And I thought I bought the best meat.

The presentation of the shrimp cocktail was nice.  The shrimp were large but very tough and had almost no flavor.  You can’t win them all, I guess.

I bought the Filet Mignon.  I’m usually a New York Strip guy, but the restaurant had run out of those.  I ordered the filet medium.

The food came in record time.  To be fair, the place wasn’t terribly busy, but I suspect that the staff are used to operating with an efficiency that keeps things moving quickly.  The steak looked perfect.

The flavor was fantastic and the meat was as tender as any cut of beef I’ve ever had.  It didn’t indicate it on the menu but I was fairly certain the cut was Choice and not Prime, even still, it was cooked to absolute perfection and tender and as flavorful as you could imagine.  For $55, I think it is the deal of the century for a Filet Mignon.

I asked the server if she knew the quality of cut.  I was shocked that she immediately knew that it was a choice cut of meat.  She stated that they were moving to prime cuts of meat when supply issues were resolved.  I CAN’T WAIT TO SEE what they can do with prime, based on what they did with choice.

Chelsea was the perfect server.  She was the perfect blend of attentive but not intrusive.  She answered every question quickly and accurately.  She even tried to resolve the shrimp cocktail issue, but I wouldn’t let her.  I never ran out of drink and never lacked for anything.  I wish she could be my server every restaurant I eat at.

All in all, a pretty fantastic experience.  If you go, ask for Chelsea.  Tip big.  She’s worth it.",a month ago
Renee G, 5 stars ,"Staff was attentive and I always had my water glass filled, the food came out in a timely manner. The food was delicious. I would stay away from the mac and cheese and stear towards the seafood. You can get his famed Wellington and a lot of locations so we opted not to get this as well. The scallops were perfect as well as the salmon. The seafood tower was also delicious, Vegas does do a lot of seafood. The deserts do not disappoint either.",a month ago
Chris S, 5 stars ,Hands down the best crab cake I've ever had,a month ago
Steve Olsen, 3 stars ,"Scallops were very good, like out of this world good. Beef Wellington was ok, maybe I just don’t like Beef Wellington… Other people seem to say it is good, so I don’t know. Sides were also ok. Service was ok. Drinks were good.

Common restaurants get 4 stars for being ok. This place gets 3 stars for being ok with a $300 check. Not in a hurry to return.",a month ago
NEOAWARE VERSEKER, 5 stars ,All was perfect and there is free unlimited water!!!,a month ago
shravya shashidhar, 1 star ,"King crab starter was pretty good. The liquid inside the shell was kept intact which added to the flavor. Next we ordered Butternut squash risotto one with egg and other with chicken. It tasted a lot like the US variant of Indian dish Khichdi. Dint have any flavor and was just bland. The chicken was rubbery and had absolutely no taste. The roasted chicken breast which we ordered was the last attempt to not be disappointed at this place, however it turned out to be the worst dish among the three. Outer layer of the chicken was roasted with absolutely no flavor within. Desserts were ok too.",2 months ago
The Huff Family, 5 stars ,"We had a wonderful experience. We were there for a conference and we're looking for a nice dinner that we could not get at home.  Natalie P was one of the best servers we have ever had.  She was so personable and knowledgeable.  You can tell she really enjoys her job and was happy to be there, which is rare in today's world.  The food was exceptional.  We had King Crab Legs, crab cakes and scallops.  All of them were delicious.  To finish off the meal we had the Chocolate Mousse.  One of the best desserts we have ever had.",2 months ago
Steff A., 5 stars ,"Party of 6 for my friend's birthday dinner made for a great experience at Ramsay's Kitchen.

The dining area is gorgeous with contemporary decor and creative lighting options. There's a full service bar which was also packed during our Saturday evening visit.  Our server was on point with going through the menu and the specials for the evening.  We never had to look for him once as he was around frequently to check on us.

French Onion Soup - This was the most flavorful French Onion soup I've had in a bit.  I love how the bread, cheese and beef arrives planked on top of the bowl, ready for you to drop it in.  Very savory, cheesy and a perfect start if you're looking for soup.
Seafood Tower - You know what these are about.  Every sea item on here was fresh.
24 Ounce Bone In Ribeye - Medium Rare is my thing and the Kitchen cooked it perfectly for me.  Red, juicy and delish

All the side dishes were good to go...
asparagus
mushrooms
broccolini

Eton Mess - This was my first Eton Mess and it was great.  Strawberries, berries, whipped cream and some kind of meringue makes for a sweet (not too sweet) dessert.  It's light which was perfect right after i took down my 24 oz. ribeye. lol

Overall, this might be my current favorite Ramsay restaurant.  I will definitely recommend and visit again soon.  Cheers!",2 months ago
JR Nekro, 5 stars ,Ramsay's Kitchen was truely amazing! Our waitress Natalie P. was one of the best we have ever had. The wellington was so delicious I am contemplating sewing my azz shut. True Story!,2 months ago
Paula Staver, 3 stars ,"Dinner reservation for 2 birthday celebrations on a Wednesday evening. Restaurant is easy to access from the parking garage.
We were greeted right away and sat within a couple minutes. The restaurant was about half full.
Very pretty decor but the restaurant is loud and hard to have a conversation.
For starters we had the crab cake, which was delicious, shrimp cocktail, which was also very good, onion soup which was also good and the beet salad. The dressing on the beet salad was VERY heavy on horseradish- that was all you tasted. I wouldn’t order it again.
Mains were salmon, ribeye, beef Wellington and oysters. Rib-eye was basic. Bernaise sauce had to be returned as it was cold. Beef Wellington was insanely tender but also served less than lukewarm. Purred potatoes were amazing. Carrots were still rock hard and cold. Broccolini had to be returned as it was very cold. It was returned to the table after all eating was completed so they comp’d the item.
Since we were celebrating birthdays, they brought out two stinky toffee puddings which were delicious.
If I were to return, I’d wait some time as they are still pretty new, and I’d order the crab cake and sticky toffee pudding.",2 months ago
Antonio Orozco, 5 stars ,This is a must try if you are in Vegas!,2 months ago
Edwin Romero, 5 stars ,Harrahs - This new restaurant is fantastic. Tried it twice excellent both times great food great service,2 months ago
Jack D, 3 stars ,"Went for New Years Weekend....I have been waiting so long to go to one of Ramsay's restaurants and I must say I was a bit let down, especially since I went to another high-end, not publicly well-known restaurant the night before (which was much better). Food was decent, but nothing special except the potato puree which was excellent... and the drinks?! A total rip off! I spend $19 on a small margarita that had one giant ice cube that took up most of the small glass, leaving me with very little to drink. I may have ranked it 4 stars if it weren't for the size of my drink. We didn't even bother with dessert. Crabcake was not my fav, I've had way better elsewhere and I ended up removing the entire outer portion of my Beef Wellington as it was not very flaky on the outside more mushy than anything and just ate the filet by itself. Plus, when reserving I indicated it was for a birthday and they sat us at a small table in a dark corner right by the front door of the casino with a giant pillar next to us, (not the best spot for a table), you could smell the smoke coming from the casino. The waiter and his assistant were good though :-)",2 months ago
K C, 5 stars ,"This place is definitely worth a visit on ur special occasions.  We celebrated our 10th Anniversary here.  From the time when u call for reservations and throughout the evening the staff were uber courteous and made you feel special.
The food was good,  decent portion sizes and unique that you know this is special…  Crab cakes , the risotto and mushrooms were just delicious!!

The eaton mess was lite and a good end to the evening..

Only thing is that Harrahs doesn’t go justice to such an amazing restaurant.   But over all best experience…

Thank for for amazing memories on our 10th Anniversary.",2 months ago
Maricarmen Portilla, 1 star ,"Very disappointing. High expectation, very poor delivery. Mac & cheese side uneatable. Don't waste your money. Highly commercial, with luxury prices.",2 months ago
Amy Orchard, 5 stars ,"What a pleasant surprise. Stepping into the restaurant from the casino, it’s like night and day    as soon as you walk in, you get that five star feeling . I had the staples beef Wellington, and sticky toffee pudding, they were excellent. The Foie Gras on Apple fritters was amazing. The service was second to none. Very well educated on the menu as well as wine. I’ll be back for sure.",2 months ago
George Johnson, 5 stars ,First time eating here and the food was excellent and the service even better.  Our waiter Jeff was fantastic!  He knew the menu inside and out and make an excellent wine suggestion.  Can’t say enough good about him!,2 months ago
Nicole Amber, 5 stars ,"Located in Harrahs - This new food option is fantastic. We are happy we checked it out. We just got starters but they were delicious. Caesar salad, mushroom, and Mac and cheese all have enough for 2 people to share. We also got a onion soup and it was good!
Service was great. It had a quiet, relaxed feel. With 4 starters and 2 drinks was around $105.00 !
Would go back again to try an bigger supper meal :)",2 months ago
Eduardo Martinez, 2 stars ,"I've gone to hells kitchen twice and delicious, ordered same beef wellington and very disappointed",2 months ago
Brie, 5 stars ,"We had a great time here at Ramsey’s kitchen! We didn’t have a reservation but the hostess Hope was amazing and made it happen. She was the best hostess. So friendly, sweet and helpful! Just awesome! We sat in the lounge and Sue our server was on point and so lovely and attentive! Great service! The food was amazing. I had the crispy skin salmon and broccolini it was delicious and my boyfriend had the beef Wellington and the risotto and they did not disappoint. Thank you Hope and Sue, we had an amazing night!",2 months ago
Kalli Portillo, 5 stars ,The atmosphere was nice. Food was very good. The service from waitresses Kelsey and Ashley made it the best! Superior service.,2 months ago
Aprin C, 5 stars ,This is one of Gordon Ramsey's restaurant located in Harrah's. The food was absolutely phenomenal!!! The service was great as well!!! I recommend getting the Beef Wellington and Sticky Toffee Pudding which was out of this world fantastic!!!,2 months ago
Robert Mitchener, 5 stars ,"This is a diamond in the rough of fantastic bars when it comes to Vegas. After trekking up and down the strip it's difficult to find a place that has a good cocktail menu, has an acceptable liquor selection, and will make off menu cocktails.

I actually came here when they first opened and then returned again a couple months later to compare. John the bartender is fantastic and on point, he even remembered me from between the visits. All the staff are just as friendly as before and the drinks and food are just as well prepared.

The first time I came here I got the small seafood Tower and the shrimp cocktail. All the seafood was fresh and delicious, the platter came with crab, muscles, oysters, shrimp, and lobster.

I also got a variety of drinks all made very well including the: Witch's Elixir, The Spiced Pear, 90 Degrees in the Shade, and the Strawberry Chocolate Negroni.

They'll tell you the petal is edible on the Witch's Elixir, and it is, but it is very bitter.

Overall this place is a well worth pitstop on your crawl through the strip if not for a full meal then maybe just a drink.",2 months ago
Katia Beraza, 5 stars ,The food is delicious and the service awesome!!!,2 months ago
Tyler Sell, 1 star ,Water was so nasty i couldn't drink it. The insides of the wellington were inedible. The ceasar salad had extra dressing on it and it just tasted like green. The Mac and cheese was bland id rather make it out of the box,2 months ago
Mrs. P girl, 3 stars ,"This was our first time here since they closed the oyster bar. I would prefer the oyster bar over Ramsay's kitchen.  The oysters are ridiculously over priced not to mention the wine is $22 for a glass of wine that you can get at any local grocery store at the same price for the bottle and the good wine is even more expensive. I had the beef wellington, and it was ok. I've had better. The asparagus was flavorless. They don't have any A1 sauce, and they want you to purchase their flavorless steak house made sauces. The onion soup had no flavor until I pust salt in it, which made it much better. The mac and cheese wasn't worth it. My son and my husband said mine is a hundred tumes better. The server was very knowledgeable about the menu.They don't allow you to bring outside drinks in. You have to finish your drink before being seated, so you know they want you to purchase their overpriced drinks. This restaurant doesn't fit in at the Harrah's at all. The steaks were priced about the same as any other steak house. We come to Harrah's at least once a month, if not more, during football season.  We will stick with Cut in the Venetian for our oysters and steaks from here on out. The one thing we loved was the crab cakes they were filled with big pieces of delicious crab. The way they talked this restaurant up, I guess I was just expecting more.",2 months ago
David Schiller, 5 stars ,"Surprisingly good restaurant to be in Harrah's.  Its new, so they are still working out the kinks (especially the front bar before being seated,  where there were so many workers but they seemed to all be in training mode).  Once seated however, the setting and and overall experience was great. Food was consistently great for all three diners, from the starters to the main courses to the desert. Wait staff were good (especially the ""assistant???"" Amir!) So friendly and made it a great evening.  Crab Cake was full of crab, not fillers; onion soup was so flavorful and NOT just all onions like everyone else does; Bone in ribeye prepared more grilled than charred, which was a nice change from every other place in Vegas; the filet was perfect and the Beef Wellington made it a triple play!.  Sticky Toffee Pudding, say no more.  Will definitely head back next visit.",2 months ago
Jianian Lin, 5 stars ,"Very excellent food. With pretty nice service.

I ordered the pure crab cake and scallop as the waitress suggested. Also ordered a  bone in ribeye to fill my stomach. All these food has gorgeous arrangement. The green onion, citrus have wonderfully balanced the taste. Demi glace on the ribeye is provide more flavor to the beaf with a taste of red wine. Pork belly with scallop both are soft and umami. I am looking forward to visit Gordon's restaurant again!",2 months ago
Ksenia D, 5 stars ,Everything and everyone were amazing,2 months ago
Treniece Teets, 3 stars ,"Crab cakes were delicious. Beef Wellington was underwhelming. The steak was not very flavorful and chewy. Mac and cheese was mediocre. Overall, not what I expected for a Gordon Ramsey restaurant.",2 months ago
Sunny Soto, 5 stars ,"Wow wow wow!! Ramsay's Kitchen has only been open about 6 weeks and they are already executing an experience I know chef Ramsay would be proud of. I work in the restaurant industry and I love to treat myself on vacation to a great dining experience, this did not disappoint!
I didn't have a reservation but the host didn't make me feel bad about it, she got me a great table in the bar area. I was able to watch the football game on as well, which was a great option since my team was playing. Hope, the hostess noticed my Raider hat and made sure I had a front row seat to watch the game while eating. My server, Jahir and his server assistant were so amazing. Jahir walked me through the menu and they both suggested their fave dishes. The bartender even made me a couple different delicious mocktails since I mentioned I didn't drink. I took a couple suggestions from the guys and ordered a grape Flatbread with blue cheese and balsamic. It was delicious and crispy. I had the roasted chicken on polenta and a side of Mac & cheese for my main courses. I must say I don't like Mac & cheese normally but this was absolutely divine! The pasta was perfectly cooked the combo of cheeses was rich and indulgent but supper flavorful. The chicken was moist and tender, the vegetables that came with it could have been more tender though. I saved room for dessert and had the Eton mess. It was fresh, vibrant, and absolutely delicious! The mirengue was melt in your mouth delicious! The kitchen is killing it. The staff was so on point I still can't believe they are only 6 weeks in, congrats to you all on a great opening!",2 months ago
